Position,Name,Weight_mg,N_ug,d15N_AIR,C_ug,d13C_VPDB,d18O_VPDB,Run,C/N_molar
3,ALANINE,0.98,154.198,-1.343,396.812,-27.155,-48.705,260303,3.002
4,ALANINE,0.95,150.327,-1.54,386.435,-27.155,-48.551,260303,2.999
5,ALANINE,0.87,134.513,-1.544,347.709,-27.237,-47.487,260303,3.016
13,ALANINE,0.83,131.105,-1.662,337.549,-27.251,-46.668,260303,3.004
20,ALANINE,0.81,127.707,-1.59,330.756,-27.195,-45.979,260303,3.022
27,ALANINE,0.87,135.62,-1.68,350.266,-27.197,-46.686,260303,3.013
34,ALANINE,0.99,154.176,-1.474,396.088,-27.179,-47.549,260303,2.997
41,ALANINE,0.94,146.838,-1.805,381.086,-27.242,-46.152,260303,3.028
47,ALANINE,0.9,141.54,-1.575,367.778,-27.152,-46.467,260303,3.031
3,ALANINE,0.87,134.217,-1.352,354.879,-27.112,-46.557,260319,3.085
4,ALANINE,0.93,143.178,-1.53,378.028,-27.169,-46.644,260319,3.08
5,ALANINE,0.97,150.103,-1.487,392.101,-27.09,-47.093,260319,3.048
13,ALANINE,0.84,133.423,-1.647,349.165,-27.214,-46.133,260319,3.053
20,ALANINE,1.07,167.379,-1.449,425,-27.19,-47.388,260319,2.962
27,ALANINE,1.08,169.632,-1.51,435.421,-27.297,-47.02,260319,2.995
34,ALANINE,0.84,133.032,-1.856,352.203,-27.174,-45.067,260319,3.089
41,ALANINE,0.87,133.736,-1.678,353.033,-27.189,-45.709,260319,3.08
47,ALANINE,0.84,128.82,-1.515,340.285,-27.049,-46.249,260319,3.082